TRANSACTION TYPE,TRANSACTION DATE,TRANSACTION REFERENCE,MERCHANT,TOTAL
Individual GPC,11/1/2013,PCCL1711359,WWW.KEYTOOLS.CO.UK       ,1616.40
Individual GPC,11/5/2013,PCCL1711752,BANNER BUSINESS SERVIC   ,755.91
Individual GPC,11/12/2013,PCCL1712083,VIKING                   ,615.85
Individual GPC,11/15/2013,PCCL1712014,Taj Hotels International ,1535.46
Individual GPC,11/15/2013,PCCL1712345,WHYGO EUROPE LIMIT       ,561.57
Individual GPC,11/19/2013,PCCL1711478,CES MARKETING LTD        ,612.00
Individual GPC,11/19/2013,PCCL1711479,CES MARKETING LTD        ,612.00
Individual GPC,11/19/2013,PCCL1711640,KONICA MINOLTA           ,602.66
Individual GPC,11/26/2013,PCCL1711753,BANNER BUSINESS SERVIC   ,658.93
Individual GPC,11/29/2013,PCCL1711762,SIGHTANDSOUND.CO.U       ,605.94
Individual GPC,11/29/2013,PCCL1711763,SIGHTANDSOUND.CO.U       ,965.94
Individual GPC,11/29/2013,PCCL1711761,DRI NUANCE               ,554.99
Lodged GPC,05/11/2013,462552720,HOGG ROBINSON GROUP LTD,7815.85
Lodged GPC,05/11/2013,462638476,HOGG ROBINSON GROUP LTD,2510.30
Lodged GPC,05/11/2013,462638477,HOGG ROBINSON GROUP LTD,3295.30
Lodged GPC,05/11/2013,462720377,HOGG ROBINSON GROUP LTD,836.84
Lodged GPC,06/11/2013,464122761,HOGG ROBINSON GROUP LTD,739.93
Lodged GPC,06/11/2013,464122762,HOGG ROBINSON GROUP LTD,739.93
Lodged GPC,14/11/2013,465435616,HOGG ROBINSON GROUP LTD,640.15
Lodged GPC,14/11/2013,465435617,HOGG ROBINSON GROUP LTD,1026.83
Lodged GPC,14/11/2013,465435625,HOGG ROBINSON GROUP LTD,507.05
Lodged GPC,14/11/2013,465435626,HOGG ROBINSON GROUP LTD,702.20
Lodged GPC,18/11/2013,466221821,HOGG ROBINSON GROUP LTD,-4381.65
Lodged GPC,20/11/2013,466590295,HOGG ROBINSON GROUP LTD,518.07
Lodged GPC,21/11/2013,466994504,HOGG ROBINSON GROUP LTD,656.39
Lodged GPC,27/11/2013,467274434,HOGG ROBINSON GROUP LTD,-1383.20
Lodged GPC,27/11/2013,467593068,HOGG ROBINSON GROUP LTD,-949.00
Lodged GPC,28/11/2013,467595219,HOGG ROBINSON GROUP LTD,-3801.19
Lodged GPC,26/11/2013,468899411,HOGG ROBINSON GROUP LTD,600.86
Lodged GPC,28/11/2013,468899431,HOGG ROBINSON GROUP LTD,538.36
Lodged GPC,06/11/2013,462655263,HOGG ROBINSON GROUP LTD,1520.35
Lodged GPC,06/11/2013,462670819,HOGG ROBINSON GROUP LTD,995.30
Lodged GPC,06/11/2013,462784445,HOGG ROBINSON GROUP LTD,1724.45
Lodged GPC,06/11/2013,463296280,HOGG ROBINSON GROUP LTD,2322.07
Lodged GPC,06/11/2013,463296281,HOGG ROBINSON GROUP LTD,4817.68
Lodged GPC,08/11/2013,463300107,HOGG ROBINSON GROUP LTD,5414.85
Lodged GPC,11/11/2013,463806715,HOGG ROBINSON GROUP LTD,4510.95
Lodged GPC,11/11/2013,463806716,HOGG ROBINSON GROUP LTD,4510.95
Lodged GPC,11/11/2013,463806717,HOGG ROBINSON GROUP LTD,3756.25
Lodged GPC,12/11/2013,464123151,HOGG ROBINSON GROUP LTD,3918.75
Lodged GPC,15/11/2013,464835984,HOGG ROBINSON GROUP LTD,1046.94
Lodged GPC,15/11/2013,464847773,HOGG ROBINSON GROUP LTD,1424.20
Lodged GPC,15/11/2013,465431320,HOGG ROBINSON GROUP LTD,1929.80
Lodged GPC,15/11/2013,465435435,HOGG ROBINSON GROUP LTD,631.68
Lodged GPC,19/11/2013,465440045,HOGG ROBINSON GROUP LTD,2112.65
Lodged GPC,19/11/2013,465440046,HOGG ROBINSON GROUP LTD,2112.65
Lodged GPC,20/11/2013,466018924,HOGG ROBINSON GROUP LTD,868.95
Lodged GPC,21/11/2013,466236890,HOGG ROBINSON GROUP LTD,815.84
Lodged GPC,25/11/2013,466991695,HOGG ROBINSON GROUP LTD,1049.35
Lodged GPC,26/11/2013,467274442,HOGG ROBINSON GROUP LTD,581.30
Lodged GPC,28/11/2013,468022839,HOGG ROBINSON GROUP LTD,2083.70
Lodged GPC,28/11/2013,468022840,HOGG ROBINSON GROUP LTD,2083.70
Lodged GPC,28/11/2013,468597686,HOGG ROBINSON GROUP LTD,711.50
Lodged GPC,28/11/2013,468597687,HOGG ROBINSON GROUP LTD,812.50
