TRANSACTION TYPE,TRANSACTION DATE,TRANSACTION REFERENCE,MERCHANT,TOTAL
Individual GPC,10/3/2013,PCCL1709535,CIVIL SERVICE LEARNING   ,793.20
Individual GPC,10/8/2013,PCCL1710363,ONLINE ERGONOMICS        ,1127.47
Individual GPC,10/10/2013,PCCL1711083,STATIONERY OFFICE BOOK   ,914.23
Individual GPC,10/10/2013,PCCL1710746,INSIGHT                  ,1033.42
Individual GPC,10/11/2013,PCCL1711076,MOMENTUMCOA              ,540.70
Individual GPC,10/15/2013,PCCL1711312,EUROPEAN INSTITUTE FOR ADVANCED STUDIES IN MANAGEMENT (EIASM),511.69
Individual GPC,10/16/2013,PCCL1710747,KELWAY (UK) LTD          ,1619.36
Individual GPC,10/16/2013,PCCL1711193,BJ KERRY CENTRE HOTEL CO ,893.30
Individual GPC,10/16/2013,PCCL1711027,EUROSTAR ACC             ,593.00
Individual GPC,10/18/2013,PCCL1710374,BACKCARE SOLUTIONS LTD   ,1568.91
Individual GPC,10/18/2013,PCCL1710375,ONLINE ERGONOMICS        ,1831.14
Individual GPC,10/18/2013,PCCL1711319,BRITISH A   1258503556454,651.50
Individual GPC,10/24/2013,PCCL1710378,ONLINE ERGONOMICS        ,899.20
Individual GPC,10/24/2013,PCCL1710379,ONLINE ERGONOMICS        ,1111.14
Individual GPC,10/25/2013,PCCL1710682,RE WORK X LTD,870.00
Individual GPC,10/28/2013,PCCL1710489,QUEEN ELIZABETH II       ,600.60
Individual GPC,10/28/2013,PCCL1711325,HOTEL HUIS TER DUIN      ,590.20
Individual GPC,10/28/2013,PCCL1711326,HOTEL HUIS TER DUIN      ,590.20
Individual GPC,10/31/2013,PCCL1710615,HUB WESTMINSTER          ,585.60
Lodged GPC,01/10/2013,455003153,HOGG ROBINSON GROUP LTD,1473.20
Lodged GPC,01/10/2013,455003158,HOGG ROBINSON GROUP LTD,1072.65
Lodged GPC,01/10/2013,455003150,HOGG ROBINSON GROUP LTD,981.45
Lodged GPC,02/10/2013,455320894,HOGG ROBINSON GROUP LTD,543.25
Lodged GPC,02/10/2013,455321158,HOGG ROBINSON GROUP LTD,1058.10
Lodged GPC,10/1/2013,455003153,HOGG ROBINSON GROUP LTD,1473.20
Lodged GPC,10/1/2013,455003158,HOGG ROBINSON GROUP LTD,1072.65
Lodged GPC,01/10/2013,455003150,HOGG ROBINSON GROUP LTD,981.45
Lodged GPC,10/2/2013,455320894,HOGG ROBINSON GROUP LTD,543.25
Lodged GPC,10/2/2013,455321158,HOGG ROBINSON GROUP LTD,1058.10
Lodged GPC,10/2/2013,455700102,HOGG ROBINSON GROUP LTD,1383.46
Lodged GPC,10/3/2013,455689336,HOGG ROBINSON GROUP LTD,2889.10
Lodged GPC,10/3/2013,455689337,HOGG ROBINSON GROUP LTD,2889.10
Lodged GPC,10/3/2013,455692607,HOGG ROBINSON GROUP LTD,3710.35
Lodged GPC,10/3/2013,455702415,HOGG ROBINSON GROUP LTD,738.44
