TRANSACTION TYPE,TRANSACTION DATE,TRANSACTION REFERENCE,MERCHANT,TOTAL
Individual GPC,9/4/2013,PCCL1708629,CIVIL SERVICE LEARNING   ,883.20
Individual GPC,9/5/2013,PCCL1709317,CES MARKETING LTD        ,510.00
Individual GPC,9/6/2013,PCCL1709320,CES MARKETING LTD        ,510.00
Individual GPC,9/6/2013,PCCL1709621,ISTORAGE LTD            ,1633.20
Individual GPC,9/6/2013,PCCL1710132,HOTEL HUIS TER DUIN      ,664.33
Individual GPC,9/10/2013,PCCL1709532,CIVIL SERVICE LEARNING   ,793.20
Individual GPC,9/11/2013,PCCL1709323,SOUTH EAST DRAWING OFFICE LTD,527.40
Individual GPC,9/17/2013,PCCL1709761,HOUSE OF COMMONS         ,500.00
Individual GPC,9/18/2013,PCCL1709324,SOUTH EAST DRAWING OFFICE LTD ,527.42
Individual GPC,9/19/2013,PCCL1709273,POSTURITE (UK) LTD       ,793.20
Individual GPC,9/24/2013,PCCL1709281,WWW.ERONOMICS.CO.        ,1307.64
Individual GPC,9/24/2013,PCCL1709534,PAYPAL  ASDC             ,558.00
Individual GPC,9/26/2013,PCCL1709284,ONLINE ERGONOMICS        ,1114.80
Individual GPC,9/26/2013,PCCL1709623,SECURITY SERVICES GROUP    ,1233.00
Lodged GPC,03/09/2013,449234242,HOGG ROBINSON GROUP LTD,898.43
Lodged GPC,03/09/2013,449234241,HOGG ROBINSON GROUP LTD,898.43
Lodged GPC,06/09/2013,450173286,HOGG ROBINSON GROUP LTD,640.37
Lodged GPC,06/09/2013,449907286,HOGG ROBINSON GROUP LTD,2422.80
Lodged GPC,06/09/2013,449597995,HOGG ROBINSON GROUP LTD,574.50
Lodged GPC,11/09/2013,451109750,HOGG ROBINSON GROUP LTD,699.50
Lodged GPC,11/09/2013,450725953,HOGG ROBINSON GROUP LTD,615.40
Lodged GPC,11/09/2013,450725954,HOGG ROBINSON GROUP LTD,615.40
Lodged GPC,11/09/2013,450725955,HOGG ROBINSON GROUP LTD,615.40
Lodged GPC,12/09/2013,451101183,HOGG ROBINSON GROUP LTD,3697.15
Lodged GPC,12/09/2013,451101182,HOGG ROBINSON GROUP LTD,1734.15
Lodged GPC,12/09/2013,451396518,HOGG ROBINSON GROUP LTD,1138.74
Lodged GPC,12/09/2013,451109892,HOGG ROBINSON GROUP LTD,683.91
Lodged GPC,12/09/2013,451109891,HOGG ROBINSON GROUP LTD,690.91
Lodged GPC,18/09/2013,452682140,HOGG ROBINSON GROUP LTD,2347.80
Lodged GPC,20/09/2013,453213036,HOGG ROBINSON GROUP LTD,570.28
Lodged GPC,20/09/2013,452682568,HOGG ROBINSON GROUP LTD,-2831.65
Lodged GPC,20/09/2013,452682569,HOGG ROBINSON GROUP LTD,-2831.65
Lodged GPC,25/09/2013,453788535,HOGG ROBINSON GROUP LTD,1264.45
Lodged GPC,25/09/2013,453788536,HOGG ROBINSON GROUP LTD,1264.45
Lodged GPC,25/09/2013,454179282,HOGG ROBINSON GROUP LTD,659.30
Lodged GPC,25/09/2013,453795727,HOGG ROBINSON GROUP LTD,4001.19
Lodged GPC,26/09/2013,454459154,HOGG ROBINSON GROUP LTD,612.19
Lodged GPC,26/09/2013,454173011,HOGG ROBINSON GROUP LTD,672.20
Lodged GPC,26/09/2013,454173012,HOGG ROBINSON GROUP LTD,672.20
Lodged GPC,27/09/2013,454173026,HOGG ROBINSON GROUP LTD,2983.00
Lodged GPC,27/09/2013,454725584,HOGG ROBINSON GROUP LTD,840.89
Lodged GPC,27/09/2013,454462949,HOGG ROBINSON GROUP LTD,547.70
Lodged GPC,27/09/2013,454173021,HOGG ROBINSON GROUP LTD,5444.45
Lodged GPC,27/09/2013,454173022,HOGG ROBINSON GROUP LTD,5444.45
Lodged GPC,27/09/2013,454173027,HOGG ROBINSON GROUP LTD,855.95
Lodged GPC,30/09/2013,455321157,HOGG ROBINSON GROUP LTD,989.45
Lodged GPC,30/09/2013,454724754,HOGG ROBINSON GROUP LTD,759.20
Lodged GPC,30/09/2013,454721367,HOGG ROBINSON GROUP LTD,1056.25
