TRANSACTION TYPE,TRANSACTION DATE,TRANSACTION REFERENCE,MERCHANT,TOTAL
Individual GPC,04/03/2014,PCCL1714147,BANNER BUSINESS SERVICES LTD   ,761.77
Individual GPC,04/03/2014,PCCL1714486,CENTRAL HALL WESTMINSTER       ,1000.00
Individual GPC,05/03/2014,PCCL1714960,THE LONDON EYE           ,792.50
Individual GPC,05/03/2014,PCCL1715201,ENHANCED VISION EUROPE   ,2034.00
Individual GPC,11/03/2014,PCCL1714954,SHERATON HANNOVER PELIKAN HOTEL         ,958.15
Individual GPC,11/03/2014,PCCL1715046,B.T. BUSINESS DIRECT LTD     ,2606.25
Individual GPC,17/03/2014,PCCL1714956,"EMIRATES TOWERS, DUBAI          ",852.53
Individual GPC,18/03/2014,PCCL1715493,LYRECO UK LTD            ,699.70
Individual GPC,26/03/2014,PCCL1714705,THE GENERAL COUNCIL OF THE BAR ,755.00
Individual GPC,27/03/2014,PCCL1714831,CIVIL SERVICE LEARNING   ,902.40
Individual GPC,27/03/2014,PCCL1715047,B.T. BUSINESS DIRECT LTD    ,1315.51
Lodged GPC,04/03/2014,487038191,HOGG ROBINSON GROUP LTD,540.30
Lodged GPC,04/03/2014,487033021,HOGG ROBINSON GROUP LTD,1891.85
Lodged GPC,06/03/2014,487789879,HOGG ROBINSON GROUP LTD,1829.85
Lodged GPC,06/03/2014,487789877,HOGG ROBINSON GROUP LTD,3145.95
Lodged GPC,06/03/2014,487789878,HOGG ROBINSON GROUP LTD,3145.95
Lodged GPC,07/03/2014,488336944,HOGG ROBINSON GROUP LTD,657.37
Lodged GPC,10/03/2014,488331560,HOGG ROBINSON GROUP LTD,618.20
Lodged GPC,10/03/2014,488331561,HOGG ROBINSON GROUP LTD,618.20
Lodged GPC,10/03/2014,488338941,HOGG ROBINSON GROUP LTD,2741.20
Lodged GPC,10/03/2014,488338942,HOGG ROBINSON GROUP LTD,2741.20
Lodged GPC,10/03/2014,488333252,HOGG ROBINSON GROUP LTD,4703.05
Lodged GPC,10/03/2014,488333253,HOGG ROBINSON GROUP LTD,4703.05
Lodged GPC,11/03/2014,489370781,HOGG ROBINSON GROUP LTD,4381.97
Lodged GPC,11/03/2014,489370782,HOGG ROBINSON GROUP LTD,4381.97
Lodged GPC,12/03/2014,488910455,HOGG ROBINSON GROUP LTD,560.00
Lodged GPC,12/03/2014,488910453,HOGG ROBINSON GROUP LTD,560.00
Lodged GPC,12/03/2014,488910454,HOGG ROBINSON GROUP LTD,560.00
Lodged GPC,13/03/2014,489648428,HOGG ROBINSON GROUP LTD,507.50
Lodged GPC,13/03/2014,489370856,HOGG ROBINSON GROUP LTD,527.10
Lodged GPC,13/03/2014,489367170,HOGG ROBINSON GROUP LTD,588.90
Lodged GPC,13/03/2014,489367172,HOGG ROBINSON GROUP LTD,1077.95
Lodged GPC,17/03/2014,489919785,HOGG ROBINSON GROUP LTD,549.90
Lodged GPC,17/03/2014,489648452,HOGG ROBINSON GROUP LTD,872.55
Lodged GPC,17/03/2014,489648453,HOGG ROBINSON GROUP LTD,872.55
Lodged GPC,17/03/2014,489919786,HOGG ROBINSON GROUP LTD,962.90
Lodged GPC,17/03/2014,489919787,HOGG ROBINSON GROUP LTD,962.90
Lodged GPC,20/03/2014,490944646,HOGG ROBINSON GROUP LTD,625.90
Lodged GPC,20/03/2014,490944647,HOGG ROBINSON GROUP LTD,625.90
Lodged GPC,24/03/2014,491492528,HOGG ROBINSON GROUP LTD,4176.25
Lodged GPC,27/03/2014,492528736,HOGG ROBINSON GROUP LTD,723.80
Lodged GPC,27/03/2014,492528735,HOGG ROBINSON GROUP LTD,723.80
Lodged GPC,27/03/2014,492528728,HOGG ROBINSON GROUP LTD,4176.25
Lodged GPC,28/03/2014,492797009,HOGG ROBINSON GROUP LTD,721.31
Lodged GPC,28/03/2014,492528977,HOGG ROBINSON GROUP LTD,2038.55
Lodged GPC,31/03/2014,493351517,HOGG ROBINSON GROUP LTD,515.04
Lodged GPC,31/03/2014,493088521,HOGG ROBINSON GROUP LTD,1165.85
