TRANSACTION_TYPE;TRANSACTION_DATE;TRANSACTION_REFERENCE;MERCHANT;TOTAL;DATE
Individual GPC;04/02/2013;PCCL1652851;ONLINE ERGONOMICS;9.9474;14/02/2013
Individual GPC;07/02/2013;PCCL1666541;VIKING;7.4173;02/02/2013
Individual GPC;13/02/2013;PCCL1660841;POSTURITE (UK) LTD;9.0012;04/02/2013
Individual GPC;14/02/2013;PCCL1660871;KEY INDUSTRIAL EQUIPMENT;5.832000000000001;12/02/2013
Individual GPC;14/02/2013;PCCL1664061;WWW.MISCO.CO.UK;7.6452;12/02/2013
Individual GPC;14/02/2013;PCCL1661481;SOUTH EAST DRAWING OFFICE;7.3824000000000005;18/02/2013
Individual GPC;19/02/2013;PCCL1660891;ITW ENVOPAK;7.8515999999999995;12/02/2013
Individual GPC;21/02/2013;PCCL1664031;BANNER BUSINESS SUPPLIES;6.2088;12/02/2013
Individual GPC;26/02/2013;PCCL1664121;ADOBE SYSTEMS;17.9457;19/02/2013
Individual GPC;27/02/2013;PCCL1661561/71;CES MARKETING LTD;12.24;21/02/2013
Individual GPC;27/02/2013;PCCL1661581;SOUTH EAST DRAWING OFFICE;9.5381;
Lodged GPC;01/02/2013;406468312;Hogg Robinson Group Ltd;6.3039;11/02/2013
Lodged GPC;04/02/2013;407209718;Hogg Robinson Group Ltd;10.2153;
Lodged GPC;05/02/2013;407209737;Hogg Robinson Group Ltd;6.4105;
Lodged GPC;05/02/2013;407209738;Hogg Robinson Group Ltd;6.4105;12/02/2013
Lodged GPC;05/02/2013;407209739;Hogg Robinson Group Ltd;8.6129;
Lodged GPC;06/02/2013;407488164;Hogg Robinson Group Ltd;5.4055;
Lodged GPC;06/02/2013;408085027;Hogg Robinson Group Ltd;5.159299999999999;12/02/2013
Lodged GPC;07/02/2013;407846188;Hogg Robinson Group Ltd;12.83;12/02/2013
Lodged GPC;07/02/2013;408084910;Hogg Robinson Group Ltd;15.955;
Lodged GPC;07/02/2013;408346414;Hogg Robinson Group Ltd;17.4439;12/02/2013
Lodged GPC;07/02/2013;407855618;Hogg Robinson Group Ltd;5.627000000000001;
Lodged GPC;07/02/2013;407846187;Hogg Robinson Group Ltd;12.83;12/02/2013
Lodged GPC;07/02/2013;408084908;Hogg Robinson Group Ltd;15.955;12/02/2013
Lodged GPC;07/02/2013;408346413;Hogg Robinson Group Ltd;17.4439;12/02/2013
Lodged GPC;08/02/2013;408085040;Hogg Robinson Group Ltd;5.825900000000001;
Lodged GPC;11/02/2013;408346462;Hogg Robinson Group Ltd;5.3224;12/02/2013
Lodged GPC;12/02/2013;408630706;Hogg Robinson Group Ltd;5.8705;12/02/2013
Lodged GPC;13/02/2013;409769419;Hogg Robinson Group Ltd;24.5552;
Lodged GPC;13/02/2013;408878605;Hogg Robinson Group Ltd;30.342;12/02/2013
Lodged GPC;14/02/2013;409287452;Hogg Robinson Group Ltd;15.876900000000001;12/02/2013
Lodged GPC;14/02/2013;409287453;Hogg Robinson Group Ltd;15.876900000000001;12/02/2013
Lodged GPC;15/02/2013;409287433;Hogg Robinson Group Ltd;39.3905;12/02/2013
Lodged GPC;15/02/2013;409287434;Hogg Robinson Group Ltd;39.3905;
Lodged GPC;15/02/2013;409287430;Hogg Robinson Group Ltd;59.3329;12/02/2013
Lodged GPC;19/02/2013;410675737;Hogg Robinson Group Ltd;20.0501;12/02/2013
Lodged GPC;19/02/2013;410029975;Hogg Robinson Group Ltd;20.192;12/02/2013
Lodged GPC;19/02/2013;410029976;Hogg Robinson Group Ltd;5.525499999999999;
Lodged GPC;19/02/2013;410029977;Hogg Robinson Group Ltd;5.525499999999999;12/02/2013
Lodged GPC;20/02/2013;410286051;Hogg Robinson Group Ltd;8.6189;12/02/2013
Lodged GPC;21/02/2013;410670024;Hogg Robinson Group Ltd;5.3389999999999995;
Lodged GPC;21/02/2013;410677289;Hogg Robinson Group Ltd;8.1493;12/02/2013
Lodged GPC;21/02/2013;410677290;Hogg Robinson Group Ltd;8.1493;12/02/2013
Lodged GPC;22/02/2013;410670037;Hogg Robinson Group Ltd;16.7179;12/02/2013
Lodged GPC;22/02/2013;410670038;Hogg Robinson Group Ltd;16.7179;
Lodged GPC;22/02/2013;410670039;Hogg Robinson Group Ltd;16.7179;12/02/2013
Lodged GPC;26/02/2013;411434197;Hogg Robinson Group Ltd;16.7179;12/02/2013
Lodged GPC;26/02/2013;411438370;Hogg Robinson Group Ltd;5.86;
Lodged GPC;28/02/2013;412119300;Hogg Robinson Group Ltd;33.78;12/02/2013
Lodged GPC;28/02/2013;412119299;Hogg Robinson Group Ltd;33.78;12/02/2013
Lodged GPC;13/02/2013;Statement 5 Mar 2013;EC GROUP;11.1779;12/02/2013
Lodged GPC;13/02/2013;Statement 5 Mar 2013;EC GROUP;8.3141;12/02/2013
Lodged GPC;13/02/2013;Statement 5 Mar 2013;EC GROUP;98.3123;
